combo,window,cusum_threshold_atr_mult,pt_mult,sl_mult,horizon_5m_bars,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,passes_constraints
cus0.6_pt3.0_sl2.0_hz24,ytd_2026_jan_apr,0.6,3.0,2.0,24,87,3047.133838501531,1165.5790362150801,1.4537377231498056,0.5402298850574713,True
cus0.8_pt3.0_sl3.0_hz6,ytd_2026_jan_apr,0.8,3.0,3.0,6,35,3046.4347477003075,529.4230030509716,2.680176128853448,0.6857142857142857,True
cus0.8_pt2.5_sl3.0_hz6,ytd_2026_jan_apr,0.8,2.5,3.0,6,38,3045.7333205721256,862.5164882622121,2.825845114496977,0.7368421052631579,True
cus0.6_pt3.5_sl2.5_hz12,ytd_2026_jan_apr,0.6,3.5,2.5,12,65,3041.3937854338096,693.1676968222964,1.7532350355496042,0.5538461538461539,True
cus0.8_pt2.5_sl2.5_hz18,ytd_2026_jan_apr,0.8,2.5,2.5,18,36,3038.933789532947,400.40961032719497,2.8539693075179517,0.6111111111111112,True
cus0.8_pt2.5_sl3.0_hz12,ytd_2026_jan_apr,0.8,2.5,3.0,12,31,3034.9042492923954,284.9800000000032,3.864209903322526,0.7741935483870968,True
cus0.6_pt3.0_sl3.0_hz12,ytd_2026_jan_apr,0.6,3.0,3.0,12,37,3027.8613128761704,467.4800000000032,2.4601666477581925,0.7297297297297297,True
cus1.0_pt3.0_sl2.5_hz12,ytd_2026_jan_apr,1.0,3.0,2.5,12,67,3024.3611047281224,1137.8293728588033,1.5900073692273426,0.5522388059701493,True
cus1.0_pt3.0_sl3.0_hz6,ytd_2026_jan_apr,1.0,3.0,3.0,6,37,3020.421322018495,1015.7693946292202,2.1256001908833073,0.7027027027027027,True
cus0.6_pt2.5_sl3.0_hz24,ytd_2026_jan_apr,0.6,2.5,3.0,24,44,3019.823793019634,649.5961631822865,2.142433660575633,0.6363636363636364,True
cus0.6_pt2.5_sl2.0_hz18,ytd_2026_jan_apr,0.6,2.5,2.0,18,45,3019.653567297954,406.47544173774804,2.252424779249351,0.6,True
cus0.6_pt3.5_sl3.0_hz24,ytd_2026_jan_apr,0.6,3.5,3.0,24,58,3014.8243188718516,1325.2954080433847,1.6460244627537293,0.5517241379310345,True
cus0.8_pt3.5_sl2.5_hz24,ytd_2026_jan_apr,0.8,3.5,2.5,24,66,3011.947549940236,1311.5231783015042,1.605072705886693,0.5909090909090909,True
cus0.6_pt3.0_sl2.0_hz6,ytd_2026_jan_apr,0.6,3.0,2.0,6,40,3001.551878957553,464.5953353673176,2.8091048786789763,0.625,True
cus0.8_pt3.5_sl2.5_hz18,ytd_2026_jan_apr,0.8,3.5,2.5,18,76,1207.4185109962575,1627.128649483173,1.1760305554054575,0.5263157894736842,True
cus0.8_pt3.5_sl2.5_hz12,ytd_2026_jan_apr,0.8,3.5,2.5,12,80,1111.7721979268763,1838.434222508833,1.1683051709722458,0.5125,True
cus0.6_pt3.0_sl2.0_hz12,ytd_2026_jan_apr,0.6,3.0,2.0,12,130,899.9701357129526,1427.0086276613147,1.0723401256855127,0.45384615384615384,True
cus1.0_pt3.0_sl2.5_hz6,ytd_2026_jan_apr,1.0,3.0,2.5,6,74,802.8498349293825,1371.9082389005052,1.0972519316741367,0.5,True
cus0.8_pt3.0_sl2.5_hz6,ytd_2026_jan_apr,0.8,3.0,2.5,6,73,665.8479750066474,1968.1398778573202,1.093091751259727,0.5616438356164384,True
cus0.6_pt3.5_sl2.5_hz24,ytd_2026_jan_apr,0.6,3.5,2.5,24,88,649.2147528988203,1443.8947055377648,1.0787855870618506,0.48863636363636365,True
cus1.0_pt3.0_sl2.0_hz6,ytd_2026_jan_apr,1.0,3.0,2.0,6,68,641.4297635520188,1464.900857339744,1.1001370054275688,0.45588235294117646,True
cus0.6_pt3.5_sl2.0_hz6,ytd_2026_jan_apr,0.6,3.5,2.0,6,56,365.8290074361946,1558.1750443533238,1.0729651030587541,0.4642857142857143,True
cus0.6_pt3.5_sl2.5_hz18,ytd_2026_jan_apr,0.6,3.5,2.5,18,90,154.84856803487355,1585.753782191743,1.0165641918898705,0.5,True
cus0.8_pt3.5_sl2.0_hz12,ytd_2026_jan_apr,0.8,3.5,2.0,12,51,-15.865297100943707,1529.8622761099468,0.9961743183752945,0.39215686274509803,True
cus1.0_pt2.5_sl2.5_hz24,ytd_2026_jan_apr,1.0,2.5,2.5,24,33,-67.38749541953233,1540.5858304619833,0.9757708108901892,0.5454545454545454,True
cus1.0_pt3.5_sl2.0_hz18,ytd_2026_jan_apr,1.0,3.5,2.0,18,76,-128.7154016296072,1810.8950332552777,0.98194262455703,0.40789473684210525,True
cus0.8_pt3.0_sl2.0_hz12,ytd_2026_jan_apr,0.8,3.0,2.0,12,60,-216.67822191883647,1548.986902485558,0.9551158193549817,0.43333333333333335,True
cus1.0_pt2.5_sl2.0_hz12,ytd_2026_jan_apr,1.0,2.5,2.0,12,116,-227.34830341712052,1675.8033100311877,0.9777170012375347,0.49137931034482757,True
cus0.6_pt3.0_sl3.0_hz6,ytd_2026_jan_apr,0.6,3.0,3.0,6,17,-250.1853754140088,1627.2396174125388,0.8665558010748634,0.6470588235294118,True
cus1.0_pt3.5_sl3.0_hz24,ytd_2026_jan_apr,1.0,3.5,3.0,24,18,-301.38173195031493,1624.7396174125388,0.8616592377018939,0.4444444444444444,True
cus1.0_pt2.5_sl2.0_hz6,ytd_2026_jan_apr,1.0,2.5,2.0,6,76,-358.398979696841,2353.0748650605747,0.9530395243567031,0.5526315789473685,True
cus0.6_pt3.5_sl2.0_hz24,ytd_2026_jan_apr,0.6,3.5,2.0,24,28,-450.3834289256297,1590.2255085784345,0.8306557903694883,0.42857142857142855,True
cus1.0_pt3.5_sl2.5_hz12,ytd_2026_jan_apr,1.0,3.5,2.5,12,71,-581.0618292580133,1404.9060716746608,0.9156658809756101,0.4225352112676056,True
cus1.0_pt3.5_sl2.5_hz18,ytd_2026_jan_apr,1.0,3.5,2.5,18,73,-611.8211419635443,1798.8716337261576,0.9228358544369482,0.4657534246575342,True
cus1.0_pt3.5_sl2.0_hz12,ytd_2026_jan_apr,1.0,3.5,2.0,12,41,-643.0989310449185,1556.4711952582584,0.8135905093511117,0.4146341463414634,True
cus1.0_pt2.5_sl2.0_hz24,ytd_2026_jan_apr,1.0,2.5,2.0,24,31,-656.8522909658523,1730.9854599789833,0.7775679906262457,0.4838709677419355,True
cus0.8_pt3.5_sl2.0_hz6,ytd_2026_jan_apr,0.8,3.5,2.0,6,51,-665.3062897205646,1673.3621557719598,0.8695920002939277,0.45098039215686275,True
cus0.6_pt3.0_sl2.5_hz6,ytd_2026_jan_apr,0.6,3.0,2.5,6,23,-767.7174110750393,1633.9628069524188,0.6851933986549125,0.4782608695652174,True
cus0.6_pt3.5_sl2.0_hz12,ytd_2026_jan_apr,0.6,3.5,2.0,12,46,-817.8357409401327,1610.4332749991809,0.8155295315658929,0.41304347826086957,True
cus1.0_pt3.5_sl2.0_hz6,ytd_2026_jan_apr,1.0,3.5,2.0,6,51,-832.3359378443716,1507.4600000000064,0.8595893881826048,0.39215686274509803,True
cus0.8_pt3.5_sl3.0_hz6,ytd_2026_jan_apr,0.8,3.5,3.0,6,19,-855.3484099201116,1575.165688946152,0.660926194176019,0.3684210526315789,True
cus0.6_pt3.5_sl2.5_hz6,ytd_2026_jan_apr,0.6,3.5,2.5,6,23,-868.3851360752243,1606.6345527745361,0.6548895708075385,0.43478260869565216,True
cus0.8_pt3.5_sl2.5_hz6,ytd_2026_jan_apr,0.8,3.5,2.5,6,47,-977.3358390856181,1612.8209476908014,0.8155347736422466,0.425531914893617,True
cus1.0_pt3.0_sl2.5_hz24,ytd_2026_jan_apr,1.0,3.0,2.5,24,27,-1017.6096772826724,1578.5491951372824,0.6659646686324981,0.4074074074074074,True
cus0.8_pt3.0_sl2.0_hz18,ytd_2026_jan_apr,0.8,3.0,2.0,18,51,-1018.8508483012617,1575.0021541064998,0.7800958980168746,0.43137254901960786,True
cus1.0_pt3.5_sl3.0_hz6,ytd_2026_jan_apr,1.0,3.5,3.0,6,21,-1089.49847401343,1601.221938073155,0.601516085265463,0.42857142857142855,True
cus0.8_pt3.0_sl2.0_hz24,ytd_2026_jan_apr,0.8,3.0,2.0,24,31,-1113.3467642897804,1808.2347565511445,0.6765107588026175,0.41935483870967744,True
cus1.0_pt3.5_sl2.5_hz24,ytd_2026_jan_apr,1.0,3.5,2.5,24,22,-1116.7542283910993,1751.734344866607,0.5711195373768894,0.36363636363636365,True
cus0.8_pt3.5_sl2.0_hz18,ytd_2026_jan_apr,0.8,3.5,2.0,18,27,-1127.7325578374264,1570.3611289685578,0.5942712526419046,0.3333333333333333,True
cus1.0_pt3.5_sl2.5_hz6,ytd_2026_jan_apr,1.0,3.5,2.5,6,23,-1213.9568158977665,1782.312006459404,0.5863079890787207,0.391304347826087,True
cus0.6_pt3.5_sl2.0_hz18,ytd_2026_jan_apr,0.6,3.5,2.0,18,48,-1224.98793146116,1692.3307983567938,0.7422735937824523,0.375,True
cus0.8_pt3.0_sl2.5_hz24,ytd_2026_jan_apr,0.8,3.0,2.5,24,29,-1425.3323200743944,1563.395888656487,0.583051912523736,0.4827586206896552,True
cus1.0_pt3.0_sl2.0_hz24,ytd_2026_jan_apr,1.0,3.0,2.0,24,31,-1427.5528677549382,1524.5633481835393,0.5173249400329872,0.2903225806451613,True
cus0.6_pt3.0_sl2.5_hz24,ytd_2026_jan_apr,0.6,3.0,2.5,24,27,-1962.4985512359044,2181.6913299065127,0.4023137388323688,0.4074074074074074,True
