combo,window,cusum_threshold_atr_mult,pt_mult,sl_mult,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,passes_constraints
cus0.6_pt3.5_sl2.0,ytd_2026_jan_apr,0.6,3.5,2.0,46,-817.8357409401327,1610.4332749991809,0.8155295315658929,0.41304347826086957,True
cus0.6_pt3.5_sl2.5,ytd_2026_jan_apr,0.6,3.5,2.5,65,3041.3937854338096,693.1676968222964,1.7532350355496042,0.5538461538461539,True
cus0.6_pt3.5_sl3.0,ytd_2026_jan_apr,0.6,3.5,3.0,49,3364.6690794418732,797.1210590602932,2.118567252426956,0.6122448979591837,True
cus0.8_pt2.0_sl1.5,ytd_2026_jan_apr,0.8,2.0,1.5,64,3097.6500379810595,445.52242453330837,2.086183413910161,0.5625,True
cus0.8_pt2.0_sl2.0,ytd_2026_jan_apr,0.8,2.0,2.0,80,3135.550550107329,757.0692606132798,1.797987961484153,0.6375,True
cus0.8_pt2.0_sl2.5,ytd_2026_jan_apr,0.8,2.0,2.5,74,3226.404768957134,730.7897208831782,1.8469413906819445,0.6891891891891891,True
cus0.8_pt2.0_sl3.0,ytd_2026_jan_apr,0.8,2.0,3.0,36,3092.598812641926,299.7775831615436,3.950262027270054,0.8333333333333334,True
cus0.8_pt2.5_sl1.5,ytd_2026_jan_apr,0.8,2.5,1.5,69,686.7237385094454,1670.3845381250576,1.1350547660757246,0.4782608695652174,True
cus0.8_pt2.5_sl2.0,ytd_2026_jan_apr,0.8,2.5,2.0,108,3079.9347896717836,1068.591518237925,1.379314146446117,0.5370370370370371,True
cus0.8_pt2.5_sl2.5,ytd_2026_jan_apr,0.8,2.5,2.5,43,3053.3699680759923,402.73559790060244,2.7468529555171726,0.6976744186046512,True
cus0.8_pt2.5_sl3.0,ytd_2026_jan_apr,0.8,2.5,3.0,31,3034.9042492923954,284.9800000000032,3.864209903322526,0.7741935483870968,True
cus0.8_pt3.0_sl1.5,ytd_2026_jan_apr,0.8,3.0,1.5,91,-281.9873698690649,1904.2128909658786,0.9668533739111782,0.4065934065934066,True
cus0.8_pt3.0_sl2.0,ytd_2026_jan_apr,0.8,3.0,2.0,60,-216.67822191883647,1548.986902485558,0.9551158193549817,0.43333333333333335,True
cus0.8_pt3.0_sl2.5,ytd_2026_jan_apr,0.8,3.0,2.5,62,3138.2542281839246,776.3121277869577,1.7312776119091677,0.5806451612903226,True
cus0.8_pt3.0_sl3.0,ytd_2026_jan_apr,0.8,3.0,3.0,55,3431.137921651537,832.310919323987,1.8836076394187558,0.6,True
cus0.8_pt3.5_sl1.5,ytd_2026_jan_apr,0.8,3.5,1.5,50,-644.7057353146322,1471.1474893164705,0.8370959711025094,0.28,True
cus0.8_pt3.5_sl2.0,ytd_2026_jan_apr,0.8,3.5,2.0,51,-15.865297100943707,1529.8622761099468,0.9961743183752945,0.39215686274509803,True
cus0.8_pt3.5_sl2.5,ytd_2026_jan_apr,0.8,3.5,2.5,80,1111.7721979268763,1838.434222508833,1.1683051709722458,0.5125,True
cus0.8_pt3.5_sl3.0,ytd_2026_jan_apr,0.8,3.5,3.0,44,3280.676767552415,797.1210590602932,2.2817405406964886,0.6136363636363636,True
cus1.0_pt2.0_sl1.5,ytd_2026_jan_apr,1.0,2.0,1.5,180,3047.6716135589063,1334.7197703427955,1.2347775359768434,0.49444444444444446,True
cus1.0_pt2.0_sl2.0,ytd_2026_jan_apr,1.0,2.0,2.0,45,-645.6861213107928,1593.9320814219682,0.7963101368169215,0.4666666666666667,True
cus1.0_pt2.0_sl2.5,ytd_2026_jan_apr,1.0,2.0,2.5,44,3127.9259680619207,315.2049351145906,3.373993630520476,0.7727272727272727,True
cus1.0_pt2.0_sl3.0,ytd_2026_jan_apr,1.0,2.0,3.0,36,3001.3779587084255,307.4800000000032,4.594644916238991,0.8611111111111112,True
cus1.0_pt2.5_sl1.5,ytd_2026_jan_apr,1.0,2.5,1.5,61,-577.0560265375331,1594.9571808617402,0.8704788470798228,0.39344262295081966,True
cus1.0_pt2.5_sl2.0,ytd_2026_jan_apr,1.0,2.5,2.0,116,-227.34830341712052,1675.8033100311877,0.9777170012375347,0.49137931034482757,True
cus1.0_pt2.5_sl2.5,ytd_2026_jan_apr,1.0,2.5,2.5,87,3209.78790668988,1058.2521303959438,1.5101772764956025,0.6091954022988506,True
cus1.0_pt2.5_sl3.0,ytd_2026_jan_apr,1.0,2.5,3.0,34,3095.148595236522,459.7922700114432,3.5117235588833213,0.7647058823529411,True
cus1.0_pt3.0_sl1.5,ytd_2026_jan_apr,1.0,3.0,1.5,64,-1220.4383742482485,1416.1905221399502,0.7517507536925759,0.375,True
cus1.0_pt3.0_sl2.0,ytd_2026_jan_apr,1.0,3.0,2.0,67,3059.866590904439,805.9851383638088,1.731636266708224,0.5223880597014925,True
cus1.0_pt3.0_sl2.5,ytd_2026_jan_apr,1.0,3.0,2.5,67,3024.3611047281224,1137.8293728588033,1.5900073692273426,0.5522388059701493,True
cus1.0_pt3.0_sl3.0,ytd_2026_jan_apr,1.0,3.0,3.0,34,3055.889635837573,806.1091924866632,2.606074256400025,0.6764705882352942,True
cus1.0_pt3.5_sl1.5,ytd_2026_jan_apr,1.0,3.5,1.5,70,-1180.5282492760434,1910.782192114595,0.7876785858694945,0.37142857142857144,True
cus1.0_pt3.5_sl2.0,ytd_2026_jan_apr,1.0,3.5,2.0,41,-643.0989310449185,1556.4711952582584,0.8135905093511117,0.4146341463414634,True
cus1.0_pt3.5_sl2.5,ytd_2026_jan_apr,1.0,3.5,2.5,71,-581.0618292580133,1404.9060716746608,0.9156658809756101,0.4225352112676056,True
cus1.0_pt3.5_sl3.0,ytd_2026_jan_apr,1.0,3.5,3.0,35,3074.666134656902,519.4230030509716,2.5606144600273506,0.6285714285714286,True
cus1.2_pt2.0_sl1.5,ytd_2026_jan_apr,1.2,2.0,1.5,94,3216.211094504477,1382.9940901919254,1.5619023257950202,0.5638297872340425,True
cus1.2_pt2.0_sl2.0,ytd_2026_jan_apr,1.2,2.0,2.0,55,3076.842165396805,590.4033111642493,2.269983314544373,0.6727272727272727,True
cus1.2_pt2.0_sl2.5,ytd_2026_jan_apr,1.2,2.0,2.5,38,3111.5227729683916,353.989558621608,3.0614072842775397,0.7368421052631579,True
cus1.2_pt2.0_sl3.0,ytd_2026_jan_apr,1.2,2.0,3.0,36,3081.032014216061,307.4800000000032,4.1944284514634,0.8333333333333334,True
cus1.2_pt2.5_sl1.5,ytd_2026_jan_apr,1.2,2.5,1.5,73,711.0939016837999,1568.4555544802279,1.1233656259109557,0.4383561643835616,True
cus1.2_pt2.5_sl2.0,ytd_2026_jan_apr,1.2,2.5,2.0,95,3082.6350288842173,1170.2940185281477,1.3685493998735916,0.5157894736842106,True
cus1.2_pt2.5_sl2.5,ytd_2026_jan_apr,1.2,2.5,2.5,45,3011.816795776311,1068.4024998257155,2.5005120123626337,0.7111111111111111,True
cus1.2_pt2.5_sl3.0,ytd_2026_jan_apr,1.2,2.5,3.0,27,3061.7642842033265,307.4800000000032,5.176126941530765,0.8148148148148148,True
cus1.2_pt3.0_sl1.5,ytd_2026_jan_apr,1.2,3.0,1.5,48,174.69773492379733,1513.0987241610637,1.0485318676688342,0.4375,True
cus1.2_pt3.0_sl2.0,ytd_2026_jan_apr,1.2,3.0,2.0,76,-104.2921571911038,1642.5325750574775,0.9865248822515177,0.4868421052631579,True
cus1.2_pt3.0_sl2.5,ytd_2026_jan_apr,1.2,3.0,2.5,42,3118.505686920545,671.8430555406812,2.3735912365240037,0.6190476190476191,True
cus1.2_pt3.0_sl3.0,ytd_2026_jan_apr,1.2,3.0,3.0,36,3148.0532940691032,945.9088098991924,2.964173600660477,0.7222222222222222,True
cus1.2_pt3.5_sl1.5,ytd_2026_jan_apr,1.2,3.5,1.5,65,-426.54248765374314,1811.2655645894847,0.9179817166440961,0.36923076923076925,True
cus1.2_pt3.5_sl2.0,ytd_2026_jan_apr,1.2,3.5,2.0,53,-171.06158166457863,1581.0609117096683,0.9654643558942575,0.39622641509433965,True
cus1.2_pt3.5_sl2.5,ytd_2026_jan_apr,1.2,3.5,2.5,62,310.30802953046214,1686.7059455934868,1.0520363936674373,0.43548387096774194,True
cus1.2_pt3.5_sl3.0,ytd_2026_jan_apr,1.2,3.5,3.0,39,3203.525259139965,521.9230030509716,2.14672218404232,0.5384615384615384,True
