entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,reason,stop_ticks,score,confidence,atr_ticks,vol_percentile
2018-02-23 19:45:00+00:00,2018-02-23 20:45:00+00:00,long,1,2728.0,2744.0,74.05,TIME_EXIT,48,0.4354468547953947,0.09828471601479077,9.0,0.08
2018-02-28 19:35:00+00:00,2018-02-28 20:00:00+00:00,long,1,2753.5,2739.75,-74.7,CATASTOP,48,0.4409695494023257,0.0784447647086085,13.642857142857142,0.12
2018-03-05 18:55:00+00:00,2018-03-05 19:55:00+00:00,long,1,2714.25,2721.0,27.8,TIME_EXIT,48,0.43757959046738854,0.10297538691252722,12.5,0.02
2018-03-06 19:30:00+00:00,2018-03-06 20:30:00+00:00,long,1,2723.0,2727.0,14.05,TIME_EXIT,48,0.438634640144353,0.08856379818497995,13.5,0.35
2018-03-12 18:50:00+00:00,2018-03-12 19:50:00+00:00,long,1,2785.5,2793.25,32.8,TIME_EXIT,48,0.43934083655021294,0.08678408862185938,9.714285714285714,0.06
2018-03-13 18:45:00+00:00,2018-03-13 19:40:00+00:00,long,1,2776.75,2763.5,-72.2,CATASTOP,48,0.43793996189472434,0.06462927342922614,14.142857142857142,0.42
2018-03-14 18:50:00+00:00,2018-03-14 19:50:00+00:00,long,1,2749.25,2752.25,9.05,TIME_EXIT,48,0.43669213498083387,0.0730171044389033,13.642857142857142,0.79
2018-03-15 18:05:00+00:00,2018-03-15 19:05:00+00:00,long,1,2746.0,2752.5,26.55,TIME_EXIT,48,0.43501665722052424,0.08241929480204652,10.5,0.07
2018-03-29 18:05:00+00:00,2018-03-29 19:05:00+00:00,long,1,2640.75,2657.0,75.3,TIME_EXIT,48,0.4352111047945162,0.08430628812192686,14.428571428571429,0.04
2018-04-05 17:20:00+00:00,2018-04-05 18:20:00+00:00,long,1,2663.75,2660.25,-23.45,TIME_EXIT,48,0.43587447894665715,0.09505351591775713,14.5,0.01
2018-04-09 18:10:00+00:00,2018-04-09 19:10:00+00:00,long,1,2647.75,2644.25,-23.45,TIME_EXIT,48,0.43768793146552,0.10724627099809825,10.928571428571429,0.09
2018-04-16 18:30:00+00:00,2018-04-16 19:30:00+00:00,long,1,2679.75,2680.25,-3.45,TIME_EXIT,48,0.43695959756866415,0.13446482974571622,8.857142857142858,0.2
2018-04-23 18:35:00+00:00,2018-04-23 19:35:00+00:00,long,1,2662.75,2666.75,14.05,TIME_EXIT,48,0.4367476983209145,0.07192093884707867,11.5,0.14
2018-04-25 18:10:00+00:00,2018-04-25 19:10:00+00:00,long,1,2632.5,2641.25,37.8,TIME_EXIT,48,0.43595983856361903,0.07686431020490997,15.428571428571429,0.23
2018-04-30 18:50:00+00:00,2018-04-30 19:50:00+00:00,long,1,2655.0,2654.0,-10.95,TIME_EXIT,48,0.4350360004610251,0.06363708073977226,12.142857142857142,0.33
2018-05-02 18:30:00+00:00,2018-05-02 19:25:00+00:00,long,1,2653.0,2637.75,-82.2,CATASTOP,48,0.43686282748876115,0.09005424959851738,10.857142857142858,0.15
2018-05-08 18:40:00+00:00,2018-05-08 19:40:00+00:00,long,1,2663.75,2668.75,19.05,TIME_EXIT,48,0.4362325730535966,0.060940353722378604,14.857142857142858,0.62
2018-06-11 18:50:00+00:00,2018-06-11 19:50:00+00:00,long,1,2790.25,2789.75,-8.45,TIME_EXIT,48,0.4350589990510669,0.11533308645268331,9.785714285714286,0.27
2018-07-05 18:45:00+00:00,2018-07-05 19:45:00+00:00,long,1,2731.0,2736.75,22.8,TIME_EXIT,48,0.4372326679701448,0.09416678238094817,12.571428571428571,0.64
2018-09-14 18:50:00+00:00,2018-09-14 19:50:00+00:00,long,1,2908.25,2912.0,12.8,TIME_EXIT,48,0.4348991441019955,0.10162574484315579,10.642857142857142,0.13
2018-10-09 18:35:00+00:00,2018-10-09 19:35:00+00:00,long,1,2889.75,2887.25,-18.45,TIME_EXIT,48,0.43599340822317384,0.0814584295163836,13.285714285714286,0.32
2018-10-15 18:10:00+00:00,2018-10-15 19:10:00+00:00,long,1,2770.5,2769.25,-12.2,TIME_EXIT,48,0.4387057084561875,0.08648156853644157,14.142857142857142,0.06
2018-10-16 18:50:00+00:00,2018-10-16 19:50:00+00:00,long,1,2806.75,2812.75,24.05,TIME_EXIT,48,0.4368858890811851,0.10996999804490876,11.0,0.21
2018-10-31 18:05:00+00:00,2018-10-31 19:05:00+00:00,long,1,2727.75,2736.25,36.55,TIME_EXIT,48,0.4409708057464368,0.10283771964853555,14.5,0.04
2018-11-01 18:10:00+00:00,2018-11-01 19:10:00+00:00,long,1,2730.5,2734.0,11.55,TIME_EXIT,48,0.4351580296538708,0.08369802854064251,12.285714285714286,0.04
2018-11-06 19:35:00+00:00,2018-11-06 20:35:00+00:00,long,1,2739.0,2747.75,37.8,TIME_EXIT,48,0.4366284040292714,0.09780064740811734,9.142857142857142,0.32
2018-11-08 19:35:00+00:00,2018-11-08 20:35:00+00:00,long,1,2801.5,2800.75,-9.7,TIME_EXIT,48,0.43831077584439915,0.06896196522844467,14.714285714285714,0.84
2018-11-28 19:20:00+00:00,2018-11-28 20:20:00+00:00,long,1,2729.75,2731.25,1.5499999999999998,TIME_EXIT,48,0.4362906711364506,0.09556679606131685,14.071428571428571,0.53
2018-11-29 19:45:00+00:00,2018-11-29 20:45:00+00:00,long,1,2747.25,2746.5,-9.7,TIME_EXIT,48,0.4365690730314741,0.09065166666121827,12.428571428571429,0.18
2018-12-03 19:15:00+00:00,2018-12-03 20:15:00+00:00,long,1,2780.25,2791.75,51.55,TIME_EXIT,48,0.4372935815967511,0.0779201941382312,14.285714285714286,0.48
2018-12-12 19:00:00+00:00,2018-12-12 19:30:00+00:00,long,1,2676.25,2663.5,-69.7,CATASTOP,48,0.43802975136719086,0.10433346809665467,11.071428571428571,0.05
2018-12-18 19:00:00+00:00,2018-12-18 19:45:00+00:00,long,1,2557.25,2543.75,-73.45,CATASTOP,48,0.4389854595414491,0.08086501884637098,14.571428571428571,0.03
2018-12-19 18:55:00+00:00,2018-12-19 19:00:00+00:00,long,1,2574.0,2558.5,-83.45,CATASTOP,48,0.4355203234152966,0.09608022352594892,14.214285714285714,0.13
2018-12-31 19:05:00+00:00,2018-12-31 20:05:00+00:00,long,1,2493.25,2498.25,19.05,TIME_EXIT,48,0.4399379974468455,0.0819094010394193,14.785714285714286,0.17
2019-01-04 18:45:00+00:00,2019-01-04 19:45:00+00:00,long,1,2529.5,2531.75,5.3,TIME_EXIT,48,0.4397836940852188,0.0954154636884989,15.285714285714286,0.1
2019-01-07 18:55:00+00:00,2019-01-07 19:55:00+00:00,long,1,2556.75,2548.75,-45.95,TIME_EXIT,48,0.44164215132350804,0.09667043691091592,13.428571428571429,0.26
2019-01-08 19:35:00+00:00,2019-01-08 20:35:00+00:00,long,1,2569.25,2576.25,29.05,TIME_EXIT,48,0.4382616782863953,0.08886717425701457,14.0,0.09
2019-01-09 19:20:00+00:00,2019-01-09 20:20:00+00:00,long,1,2593.0,2593.0,-5.95,TIME_EXIT,48,0.4356605111201408,0.09379928196805876,12.785714285714286,0.34
