entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,reason,stop_ticks,score,confidence
2020-06-17 18:45:00+00:00,2020-06-17 19:00:00+00:00,long,1,3125.25,3113.25,-65.95,CATASTOP,48,0.4474999437493846,0.0802953450926922
2020-06-18 18:15:00+00:00,2020-06-18 19:15:00+00:00,long,1,3096.0,3088.75,-42.2,TIME_EXIT,48,0.4356376490380383,0.0660855341819439
2020-06-19 14:35:00+00:00,2020-06-19 15:35:00+00:00,long,1,3128.5,3120.25,-47.2,TIME_EXIT,48,0.43552650583541,0.07449149396340532
2020-06-19 16:25:00+00:00,2020-06-19 17:25:00+00:00,long,1,3088.25,3087.75,-8.45,TIME_EXIT,48,0.4500857753585386,0.08745271079303207
2020-06-19 18:00:00+00:00,2020-06-19 19:00:00+00:00,long,1,3084.5,3091.5,29.05,TIME_EXIT,48,0.4434922645750877,0.057194136013353214
2020-06-22 18:10:00+00:00,2020-06-22 19:10:00+00:00,long,1,3098.5,3108.5,44.05,TIME_EXIT,48,0.44119254171057887,0.09030319755269467
2020-06-23 18:05:00+00:00,2020-06-23 19:05:00+00:00,long,1,3137.5,3130.25,-42.2,TIME_EXIT,48,0.43561944994817847,0.09861988534094424
2020-06-24 14:05:00+00:00,2020-06-24 14:40:00+00:00,long,1,3076.75,3063.5,-72.2,CATASTOP,48,0.4361199674139378,0.056757684048186874
2020-06-25 13:55:00+00:00,2020-06-25 14:55:00+00:00,long,1,3015.0,3036.0,99.05,TIME_EXIT,48,0.43546034881928763,0.054941219519195394
2020-06-25 15:40:00+00:00,2020-06-25 16:40:00+00:00,long,1,3030.0,3046.75,77.8,TIME_EXIT,48,0.43692002978271177,0.05376515218558825
2020-06-25 17:40:00+00:00,2020-06-25 18:40:00+00:00,long,1,3043.5,3038.5,-30.95,TIME_EXIT,48,0.4358105490339893,0.07257017721269005
2020-06-25 18:45:00+00:00,2020-06-25 19:45:00+00:00,long,1,3038.75,3065.25,126.55,TIME_EXIT,48,0.4511677474340444,0.05812781398781791
2020-06-26 14:10:00+00:00,2020-06-26 14:20:00+00:00,long,1,3044.25,3026.0,-97.2,CATASTOP,48,0.4350979946205555,0.06478008636719168
2020-06-26 18:35:00+00:00,2020-06-26 19:35:00+00:00,long,1,3004.0,2993.0,-60.95,TIME_EXIT,48,0.45258193543190056,0.05851123998175162
2020-06-29 14:05:00+00:00,2020-06-29 15:05:00+00:00,long,1,3009.0,3022.5,61.55,TIME_EXIT,48,0.43530719624163305,0.0504505435417108
2020-06-29 18:25:00+00:00,2020-06-29 19:25:00+00:00,long,1,3034.5,3026.5,-45.95,TIME_EXIT,48,0.4359174150783183,0.10971009363668344
2020-07-01 14:35:00+00:00,2020-07-01 14:50:00+00:00,long,1,3110.25,3097.25,-70.95,CATASTOP,48,0.44939643093389586,0.0734018437959274
2020-07-01 17:45:00+00:00,2020-07-01 18:45:00+00:00,long,1,3107.75,3102.75,-30.95,TIME_EXIT,48,0.43951299146022643,0.09166837879731926
2020-07-01 18:50:00+00:00,2020-07-01 19:50:00+00:00,long,1,3103.0,3112.25,40.3,TIME_EXIT,48,0.4551146994289145,0.09466305301984829
