entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,reason,stop_ticks
2019-09-27 13:35:00+00:00,2019-09-27 14:05:00+00:00,short,5,2986.5,2974.5,270.25,TARGET,24
2019-09-27 14:10:00+00:00,2019-09-27 15:10:00+00:00,long,5,2976.5,2985.0,182.75,MAX_HOLD,24
2019-09-27 15:15:00+00:00,2019-09-27 15:40:00+00:00,short,5,2985.0,2973.0,270.25,TARGET,24
2019-09-27 15:50:00+00:00,2019-09-27 16:50:00+00:00,long,5,2971.25,2966.25,-154.75,MAX_HOLD,24
2019-09-27 16:55:00+00:00,2019-09-27 17:00:00+00:00,long,5,2965.5,2959.5,-179.75,STOP,24
2019-09-27 17:15:00+00:00,2019-09-27 17:25:00+00:00,long,5,2964.75,2958.75,-179.75,STOP,24
2019-09-27 17:30:00+00:00,2019-09-27 18:30:00+00:00,long,5,2959.5,2955.0,-142.25,MAX_HOLD,24
2019-09-27 18:35:00+00:00,2019-09-27 18:50:00+00:00,long,5,2955.25,2949.25,-179.75,STOP,24
2019-09-27 18:55:00+00:00,2019-09-27 19:50:00+00:00,long,5,2948.0,2960.0,270.25,TARGET,24
2019-09-27 19:55:00+00:00,2019-09-27 19:55:00+00:00,long,5,2962.5,2958.25,-136.0,SESSION_FLAT,24
2019-09-30 13:40:00+00:00,2019-09-30 14:40:00+00:00,long,5,2969.75,2974.75,95.25,MAX_HOLD,24
2019-09-30 14:45:00+00:00,2019-09-30 15:45:00+00:00,long,5,2975.0,2979.75,89.0,MAX_HOLD,24
2019-09-30 15:50:00+00:00,2019-09-30 16:50:00+00:00,long,5,2980.0,2982.75,39.0,MAX_HOLD,24
2019-09-30 17:35:00+00:00,2019-09-30 18:35:00+00:00,long,5,2982.25,2982.0,-36.0,MAX_HOLD,24
2019-09-30 18:40:00+00:00,2019-09-30 19:40:00+00:00,long,5,2982.25,2978.25,-129.75,MAX_HOLD,24
