entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,reason,stop_ticks,score
2022-04-07 18:30:00+00:00,2022-04-07 19:30:00+00:00,long,1,4486.5,4505.25,87.8,TIME_EXIT,72,0.5512765005125168
2022-04-08 16:30:00+00:00,2022-04-08 17:30:00+00:00,long,1,4514.0,4501.25,-69.7,TIME_EXIT,72,0.5605421892954247
2022-04-11 16:35:00+00:00,2022-04-11 17:35:00+00:00,long,1,4426.5,4428.5,4.05,TIME_EXIT,58,0.5416000596774957
2022-04-12 13:50:00+00:00,2022-04-12 14:50:00+00:00,long,1,4449.75,4433.25,-88.45,TIME_EXIT,72,0.5974089963409833
2022-04-12 18:50:00+00:00,2022-04-12 19:50:00+00:00,short,1,4397.75,4394.25,11.55,TIME_EXIT,72,0.5684450082196325
2022-04-13 16:00:00+00:00,2022-04-13 17:00:00+00:00,long,1,4419.5,4430.25,47.8,TIME_EXIT,71,0.5526956469165851
2022-04-13 17:05:00+00:00,2022-04-13 18:05:00+00:00,long,1,4430.5,4429.25,-12.2,TIME_EXIT,60,0.5695969081282362
2022-04-14 13:35:00+00:00,2022-04-14 13:55:00+00:00,long,1,4446.75,4430.25,-88.45,CATASTOP,65,0.563411923654799
2022-04-14 16:35:00+00:00,2022-04-14 17:35:00+00:00,long,1,4408.75,4411.75,9.05,TIME_EXIT,72,0.5508322385734398
2022-04-18 16:25:00+00:00,2022-04-18 17:25:00+00:00,long,1,4369.5,4378.5,39.05,TIME_EXIT,72,0.5542104834064043
2022-04-19 14:00:00+00:00,2022-04-19 15:00:00+00:00,long,1,4417.75,4437.5,92.8,TIME_EXIT,72,0.591082067680333
2022-04-19 15:10:00+00:00,2022-04-19 16:10:00+00:00,long,1,4441.5,4446.25,17.8,TIME_EXIT,72,0.5777577695481859
2022-04-20 13:35:00+00:00,2022-04-20 13:55:00+00:00,long,1,4478.75,4458.5,-107.2,CATASTOP,72,0.6098390372187101
2022-04-20 15:00:00+00:00,2022-04-20 15:20:00+00:00,long,1,4480.75,4461.75,-100.95,CATASTOP,72,0.5594134403963945
2022-04-21 13:55:00+00:00,2022-04-21 14:20:00+00:00,long,1,4507.75,4489.0,-99.7,CATASTOP,72,0.5799480557815733
2022-04-21 18:50:00+00:00,2022-04-21 19:50:00+00:00,short,1,4407.75,4391.25,76.55,TIME_EXIT,72,0.5545290442979504
2022-04-22 16:25:00+00:00,2022-04-22 17:25:00+00:00,short,1,4314.75,4304.25,46.55,TIME_EXIT,72,0.556008077259842
2022-04-22 17:55:00+00:00,2022-04-22 18:55:00+00:00,short,1,4301.0,4277.25,112.8,TIME_EXIT,72,0.5596828203449148
2022-04-25 16:55:00+00:00,2022-04-25 17:55:00+00:00,short,1,4238.5,4232.5,24.05,TIME_EXIT,72,0.5515248101139718
2022-04-28 16:35:00+00:00,2022-04-28 17:35:00+00:00,long,1,4239.75,4277.0,180.3,TIME_EXIT,72,0.5524224685331419
2022-04-29 17:55:00+00:00,2022-04-29 18:55:00+00:00,short,1,4185.0,4156.75,135.3,TIME_EXIT,72,0.5442578673602
2022-05-03 17:00:00+00:00,2022-05-03 18:00:00+00:00,long,1,4169.25,4179.5,45.3,TIME_EXIT,72,0.5390352585125957
2022-05-04 16:45:00+00:00,2022-05-04 17:45:00+00:00,long,1,4182.5,4181.25,-12.2,TIME_EXIT,72,0.5469962617022183
2022-05-04 18:50:00+00:00,2022-05-04 19:50:00+00:00,long,1,4210.0,4299.5,441.55,TIME_EXIT,72,0.5685388951270931
2022-05-05 13:35:00+00:00,2022-05-05 14:35:00+00:00,short,1,4248.25,4187.0,300.3,TIME_EXIT,72,0.5889823376802578
