combo,meta_threshold,primary_long,primary_short,require_meta_for_trade,windows,total_pnl_sum,mean_pnl_per_window,max_drawdown_worst,trades_sum,mean_trades_per_window,pnl_over_mdd
m0.45_L0.33_S0.48_rm0,0.45,0.33,0.48,False,1,1712.8952064278699,1712.8952064278699,1365.3884412606203,96,96.0,1.25451128387055
m0.45_L0.33_S0.48_rm1,0.45,0.33,0.48,True,1,8130.099394301232,8130.099394301232,24.989999999997963,52,52.0,325.33410941584214
m0.45_L0.33_S0.53_rm0,0.45,0.33,0.53,False,1,2124.463998810398,2124.463998810398,1365.3884412606203,89,89.0,1.5559411040926545
m0.45_L0.33_S0.53_rm1,0.45,0.33,0.53,True,1,7371.311470118468,7371.311470118468,24.989999999997963,47,47.0,294.97044698355614
m0.45_L0.33_S0.58_rm0,0.45,0.33,0.58,False,1,1587.4683144568605,1587.4683144568605,1401.091737354458,82,82.0,1.1330223939899315
m0.45_L0.33_S0.58_rm1,0.45,0.33,0.58,True,1,6402.561907358129,6402.561907358129,24.989999999997963,41,41.0,256.2049582776571
m0.45_L0.33_S0.63_rm0,0.45,0.33,0.63,False,1,965.0049448481798,965.0049448481798,1401.091737354458,71,71.0,0.6887521488566498
m0.45_L0.33_S0.63_rm1,0.45,0.33,0.63,True,1,5984.021411687475,5984.021411687475,24.989999999997963,37,37.0,239.45663912316778
m0.45_L0.38_S0.43_rm0,0.45,0.38,0.43,False,1,1486.7027381126748,1486.7027381126748,1196.997384600094,108,108.0,1.2420267222299477
m0.45_L0.38_S0.43_rm1,0.45,0.38,0.43,True,1,7667.833490247097,7667.833490247097,24.989999999997963,46,46.0,306.8360740395247
m0.45_L0.38_S0.48_rm0,0.45,0.38,0.48,False,1,1837.6402399362037,1837.6402399362037,1154.5586421941189,101,101.0,1.5916387204412235
m0.45_L0.38_S0.48_rm1,0.45,0.38,0.48,True,1,7667.833490247097,7667.833490247097,24.989999999997963,46,46.0,306.8360740395247
m0.45_L0.38_S0.53_rm0,0.45,0.38,0.53,False,1,2249.209032318732,2249.209032318732,1154.5586421941189,94,94.0,1.9481115554636046
m0.45_L0.38_S0.53_rm1,0.45,0.38,0.53,True,1,6909.045566064331,6909.045566064331,24.989999999997963,41,41.0,276.47241160723866
m0.45_L0.38_S0.58_rm0,0.45,0.38,0.58,False,1,2047.234899548337,2047.234899548337,1064.276537728445,95,95.0,1.9235930014184888
m0.45_L0.38_S0.58_rm1,0.45,0.38,0.58,True,1,5940.296003303994,5940.296003303994,24.989999999997963,35,35.0,237.70692290133968
m0.45_L0.38_S0.63_rm0,0.45,0.38,0.63,False,1,1468.6307575308983,1468.6307575308983,1121.3400859655521,81,81.0,1.3097103866275366
m0.45_L0.38_S0.63_rm1,0.45,0.38,0.63,True,1,5521.75550763334,5521.75550763334,24.989999999997963,31,31.0,220.95860374685034
m0.45_L0.43_S0.43_rm0,0.45,0.43,0.43,False,1,5729.802617272232,5729.802617272232,883.9081245529524,162,162.0,6.482350889319126
m0.45_L0.43_S0.43_rm1,0.45,0.43,0.43,True,1,7092.075068735165,7092.075068735165,24.989999999997963,41,41.0,283.7965213579729
m0.45_L0.43_S0.48_rm0,0.45,0.43,0.48,False,1,1520.7027825029586,1520.7027825029586,1151.9836099262684,109,109.0,1.3200732800358936
m0.45_L0.43_S0.48_rm1,0.45,0.43,0.48,True,1,7092.075068735165,7092.075068735165,24.989999999997963,41,41.0,283.7965213579729
m0.45_L0.43_S0.53_rm0,0.45,0.43,0.53,False,1,1924.4313729334694,1924.4313729334694,1159.8238118782901,102,102.0,1.659244579413253
m0.45_L0.43_S0.53_rm1,0.45,0.43,0.53,True,1,6333.287144552401,6333.287144552401,24.989999999997963,36,36.0,253.43285892568696
