entry_time,exit_time,direction,contracts,entry_price,exit_price,pnl,exit_reason,duration_minutes
2026-01-05 19:35:00+00:00,2026-01-05 19:40:00+00:00,LONG,1,6947.0,6943.25,-22.490000000000002,stop,5.0
2026-01-05 20:25:00+00:00,2026-01-05 20:50:00+00:00,LONG,1,6948.25,6943.5,-27.490000000000002,stop,25.0
2026-01-05 21:05:00+00:00,2026-01-06 00:35:00+00:00,LONG,1,6945.25,6940.0,-29.990000000000002,stop,210.0
2026-01-06 04:00:00+00:00,2026-01-06 04:30:00+00:00,LONG,1,6952.0,6954.75,10.01,target,30.0
2026-01-06 05:25:00+00:00,2026-01-06 06:30:00+00:00,LONG,1,6953.75,6956.5,10.01,target,65.0
2026-01-06 07:00:00+00:00,2026-01-06 07:15:00+00:00,LONG,1,6955.25,6953.25,-13.74,stop,15.0
2026-01-06 07:35:00+00:00,2026-01-06 08:00:00+00:00,LONG,1,6953.5,6951.25,-14.99,stop,25.0
2026-01-06 08:05:00+00:00,2026-01-06 08:10:00+00:00,LONG,1,6946.5,6943.75,-17.490000000000002,stop,5.0
2026-01-06 08:45:00+00:00,2026-01-06 09:50:00+00:00,LONG,1,6935.0,6943.5,38.76,target,65.0
2026-01-06 09:55:00+00:00,2026-01-06 12:40:00+00:00,LONG,1,6939.25,6946.5,32.51,target,165.0
2026-01-06 16:50:00+00:00,2026-01-06 17:30:00+00:00,LONG,1,6961.0,6975.0,66.26,target,40.0
2026-01-07 01:15:00+00:00,2026-01-07 04:05:00+00:00,LONG,1,6987.25,6984.75,-16.240000000000002,stop,170.0
2026-01-07 04:30:00+00:00,2026-01-07 05:05:00+00:00,LONG,1,6985.0,6983.25,-12.49,stop,35.0
2026-01-07 05:10:00+00:00,2026-01-07 06:35:00+00:00,LONG,1,6985.0,6983.25,-12.49,stop,85.0
2026-01-07 06:55:00+00:00,2026-01-07 08:20:00+00:00,LONG,1,6981.5,6985.0,13.76,target,85.0
2026-01-07 09:05:00+00:00,2026-01-07 10:30:00+00:00,LONG,1,6978.0,6975.5,-16.240000000000002,stop,85.0
2026-01-07 10:40:00+00:00,2026-01-07 11:35:00+00:00,LONG,1,6977.0,6981.25,17.509999999999998,target,55.0
2026-01-07 15:15:00+00:00,2026-01-07 15:35:00+00:00,LONG,1,6979.5,6991.75,57.51,target,20.0
2026-01-07 19:10:00+00:00,2026-01-07 20:10:00+00:00,LONG,1,6986.25,6980.25,-33.74,stop,60.0
2026-01-07 23:50:00+00:00,2026-01-08 02:35:00+00:00,LONG,1,6964.5,6961.5,-18.740000000000002,stop,165.0
2026-01-08 02:40:00+00:00,2026-01-08 02:45:00+00:00,LONG,1,6960.5,6957.75,-17.490000000000002,stop,5.0
2026-01-08 02:55:00+00:00,2026-01-08 03:25:00+00:00,LONG,1,6957.75,6954.5,-19.990000000000002,stop,30.0
2026-01-08 03:35:00+00:00,2026-01-08 05:10:00+00:00,LONG,1,6954.75,6951.5,-19.990000000000002,stop,95.0
2026-01-08 05:15:00+00:00,2026-01-08 05:30:00+00:00,LONG,1,6951.75,6949.5,-14.99,stop,15.0
2026-01-08 23:10:00+00:00,2026-01-08 23:30:00+00:00,LONG,1,6969.75,6966.25,-21.240000000000002,stop,20.0
2026-01-09 01:25:00+00:00,2026-01-09 02:20:00+00:00,LONG,1,6956.25,6962.0,25.009999999999998,target,55.0
2026-01-09 02:35:00+00:00,2026-01-09 04:00:00+00:00,LONG,1,6961.75,6958.75,-18.740000000000002,stop,85.0
2026-01-09 09:05:00+00:00,2026-01-09 09:30:00+00:00,LONG,1,6958.25,6965.0,30.009999999999998,target,25.0
2026-01-09 10:00:00+00:00,2026-01-09 11:30:00+00:00,LONG,1,6966.5,6972.0,23.759999999999998,target,90.0
2026-01-09 12:15:00+00:00,2026-01-09 12:55:00+00:00,LONG,1,6966.75,6972.0,22.509999999999998,target,40.0
2026-01-09 15:05:00+00:00,2026-01-09 15:20:00+00:00,LONG,1,6960.0,6983.75,115.01,target,15.0
2026-01-09 20:55:00+00:00,2026-01-11 23:00:00+00:00,LONG,1,7004.75,7000.25,-26.240000000000002,stop,3005.0
2026-01-11 23:10:00+00:00,2026-01-11 23:15:00+00:00,LONG,1,6999.5,6994.75,-27.490000000000002,stop,5.0
2026-01-11 23:20:00+00:00,2026-01-12 00:05:00+00:00,LONG,1,6999.5,6994.0,-31.240000000000002,stop,45.0
2026-01-12 00:10:00+00:00,2026-01-12 00:30:00+00:00,LONG,1,6992.75,6987.5,-29.990000000000002,stop,20.0
2026-01-12 00:35:00+00:00,2026-01-12 01:00:00+00:00,LONG,1,6979.25,6973.5,-32.49,stop,25.0
2026-01-12 23:15:00+00:00,2026-01-12 23:45:00+00:00,LONG,1,7011.5,7007.5,-23.740000000000002,stop,30.0
2026-01-12 23:50:00+00:00,2026-01-13 00:35:00+00:00,LONG,1,7006.75,7002.25,-26.240000000000002,stop,45.0
2026-01-13 00:40:00+00:00,2026-01-13 01:40:00+00:00,LONG,1,7002.5,6999.25,-19.990000000000002,stop,60.0
2026-01-13 01:45:00+00:00,2026-01-13 02:05:00+00:00,LONG,1,7004.25,7009.0,20.009999999999998,target,20.0
2026-01-13 02:15:00+00:00,2026-01-13 06:50:00+00:00,LONG,1,7006.75,7013.0,27.509999999999998,target,275.0
2026-01-13 07:15:00+00:00,2026-01-13 08:10:00+00:00,LONG,1,7010.75,7008.25,-16.240000000000002,stop,55.0
2026-01-13 08:30:00+00:00,2026-01-13 09:00:00+00:00,LONG,1,7006.25,7010.75,18.759999999999998,target,30.0
2026-01-13 10:05:00+00:00,2026-01-13 10:15:00+00:00,LONG,1,7005.5,7002.75,-17.490000000000002,stop,10.0
2026-01-13 10:20:00+00:00,2026-01-13 11:55:00+00:00,LONG,1,7005.5,7010.25,20.009999999999998,target,95.0
2026-01-13 16:05:00+00:00,2026-01-13 16:25:00+00:00,LONG,1,7001.0,6990.0,-58.74,stop,20.0
2026-01-13 17:55:00+00:00,2026-01-13 20:25:00+00:00,LONG,1,6992.25,6982.75,-51.24,stop,150.0
2026-01-13 20:30:00+00:00,2026-01-13 20:50:00+00:00,LONG,1,6979.25,6989.0,45.01,target,20.0
2026-01-14 01:50:00+00:00,2026-01-14 03:10:00+00:00,LONG,1,6992.75,6998.0,22.509999999999998,target,80.0
2026-01-14 03:20:00+00:00,2026-01-14 04:05:00+00:00,LONG,1,6998.25,6996.0,-14.99,stop,45.0
2026-01-14 04:35:00+00:00,2026-01-14 04:45:00+00:00,LONG,1,6994.0,6992.0,-13.74,stop,10.0
2026-01-14 04:55:00+00:00,2026-01-14 05:25:00+00:00,LONG,1,6990.5,6988.25,-14.99,stop,30.0
2026-01-14 05:30:00+00:00,2026-01-14 05:45:00+00:00,LONG,1,6988.25,6985.75,-16.240000000000002,stop,15.0
2026-01-14 05:50:00+00:00,2026-01-14 06:05:00+00:00,LONG,1,6986.5,6983.75,-17.490000000000002,stop,15.0
2026-01-14 23:15:00+00:00,2026-01-14 23:55:00+00:00,SHORT,1,6952.0,6960.5,-46.24,stop,40.0
2026-01-15 06:00:00+00:00,2026-01-15 06:10:00+00:00,SHORT,1,6964.5,6968.5,-23.740000000000002,stop,10.0
2026-01-15 06:25:00+00:00,2026-01-15 09:10:00+00:00,LONG,1,6973.5,6982.5,41.26,target,165.0
2026-01-15 09:15:00+00:00,2026-01-15 09:35:00+00:00,LONG,1,6983.75,6991.5,35.01,target,20.0
2026-01-15 09:45:00+00:00,2026-01-15 09:55:00+00:00,LONG,1,6991.75,6987.5,-24.990000000000002,stop,10.0
2026-01-15 10:05:00+00:00,2026-01-15 13:10:00+00:00,LONG,1,6988.25,6995.5,32.51,target,185.0
2026-01-15 15:45:00+00:00,2026-01-15 16:20:00+00:00,LONG,1,6995.0,7014.75,95.01,target,35.0
2026-01-16 01:55:00+00:00,2026-01-16 03:10:00+00:00,LONG,1,6993.25,6998.5,22.509999999999998,target,75.0
2026-01-16 04:25:00+00:00,2026-01-16 07:25:00+00:00,LONG,1,7001.25,7004.75,13.76,target,180.0
2026-01-16 08:40:00+00:00,2026-01-16 11:50:00+00:00,LONG,1,6999.0,6995.5,-21.240000000000002,stop,190.0
2026-01-16 12:05:00+00:00,2026-01-16 12:20:00+00:00,LONG,1,6994.75,6991.25,-21.240000000000002,stop,15.0
2026-01-16 12:45:00+00:00,2026-01-16 12:55:00+00:00,LONG,1,6994.0,6989.75,-24.990000000000002,stop,10.0
2026-01-16 13:05:00+00:00,2026-01-16 14:20:00+00:00,LONG,1,6989.75,6997.5,35.01,target,75.0
