combo,meta_threshold,primary_long,primary_short,require_meta_for_trade,windows,total_pnl_sum,mean_pnl_per_window,max_drawdown_worst,trades_sum,mean_trades_per_window,pnl_over_mdd
m0.35_L0.38_S0.58_rm1,0.35,0.38,0.58,True,1,3212.3369929901273,3212.3369929901273,49.9800000000032,12,12.0,64.27244883933416
m0.35_L0.38_S0.63_rm0,0.35,0.38,0.63,False,1,3016.0420613831893,3016.0420613831893,686.7299306900968,46,46.0,4.391889630254444
m0.35_L0.38_S0.63_rm1,0.35,0.38,0.63,True,1,3338.6679772128136,3338.6679772128136,49.9800000000032,12,12.0,66.80007957608242
m0.35_L0.43_S0.43_rm0,0.35,0.43,0.43,False,1,3037.1943907303016,3037.1943907303016,1115.2660936481698,58,58.0,2.723291246840718
m0.35_L0.43_S0.43_rm1,0.35,0.43,0.43,True,1,3176.9972965565016,3176.9972965565016,49.9800000000032,11,11.0,63.565372079957946
m0.35_L0.43_S0.48_rm0,0.35,0.43,0.48,False,1,3180.713526568154,3180.713526568154,1067.3459322621784,53,53.0,2.980021219387434
m0.35_L0.43_S0.48_rm1,0.35,0.43,0.48,True,1,3176.9972965565016,3176.9972965565016,49.9800000000032,11,11.0,63.565372079957946
m0.35_L0.43_S0.53_rm0,0.35,0.43,0.53,False,1,3220.503098008648,3220.503098008648,918.661119546945,47,47.0,3.5056486330856145
m0.35_L0.43_S0.53_rm1,0.35,0.43,0.53,True,1,3176.9972965565016,3176.9972965565016,49.9800000000032,11,11.0,63.565372079957946
m0.35_L0.43_S0.58_rm0,0.35,0.43,0.58,False,1,3173.7632567024666,3173.7632567024666,1252.8662740830841,54,54.0,2.533201924543144
m0.35_L0.43_S0.58_rm1,0.35,0.43,0.58,True,1,3022.3169929901273,3022.3169929901273,49.9800000000032,11,11.0,60.47052807102708
m0.35_L0.43_S0.63_rm0,0.35,0.43,0.63,False,1,3308.805933808267,3308.805933808267,876.7499306900936,50,50.0,3.77394490491022
m0.35_L0.43_S0.63_rm1,0.35,0.43,0.63,True,1,3236.0124684892903,3236.0124684892903,49.9800000000032,13,13.0,64.74614782891322
m0.35_L0.48_S0.43_rm0,0.35,0.48,0.43,False,1,3064.923831251285,3064.923831251285,1357.4111603266792,57,57.0,2.2579185443809595
m0.35_L0.48_S0.43_rm1,0.35,0.48,0.43,True,1,3176.9972965565016,3176.9972965565016,49.9800000000032,11,11.0,63.565372079957946
m0.35_L0.48_S0.48_rm0,0.35,0.48,0.48,False,1,3208.4429670891377,3208.4429670891377,1304.9111603266792,52,52.0,2.4587443686863075
m0.35_L0.48_S0.48_rm1,0.35,0.48,0.48,True,1,3176.9972965565016,3176.9972965565016,49.9800000000032,11,11.0,63.565372079957946
m0.35_L0.48_S0.53_rm0,0.35,0.48,0.53,False,1,3248.232538529632,3248.232538529632,1160.8061862254544,46,46.0,2.7982557097595904
m0.35_L0.48_S0.53_rm1,0.35,0.48,0.53,True,1,3176.9972965565016,3176.9972965565016,49.9800000000032,11,11.0,63.565372079957946
m0.35_L0.48_S0.58_rm0,0.35,0.48,0.58,False,1,3201.49269722345,3201.49269722345,1255.3453755052833,53,53.0,2.550288358639814
m0.35_L0.48_S0.58_rm1,0.35,0.48,0.58,True,1,3022.3169929901273,3022.3169929901273,49.9800000000032,11,11.0,60.47052807102708
m0.35_L0.48_S0.63_rm0,0.35,0.48,0.63,False,1,3279.2954632378583,3279.2954632378583,889.9040840389425,47,47.0,3.6849987791429837
m0.35_L0.48_S0.63_rm1,0.35,0.48,0.63,True,1,3236.0124684892903,3236.0124684892903,49.9800000000032,13,13.0,64.74614782891322
