combo,window,meta_threshold,primary_long,primary_short,require_meta_for_trade,max_trades_per_day,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,avg_trade_usd,passes_constraints
m0.35_L0.28_S0.48_rm1,y2022,0.35,0.28,0.48,True,,14,3069.6332932200103,0.0,,1.0,219.25952094428644,True
m0.35_L0.28_S0.48_rm1,y2023,0.35,0.28,0.48,True,,17,3171.0571486945073,0.0,,1.0,186.53277345261807,True
m0.35_L0.28_S0.48_rm1,y2024,0.35,0.28,0.48,True,,24,3059.160739606043,163.00337235367624,8.526814465769009,0.875,127.46503081691846,True
m0.35_L0.28_S0.48_rm1,y2025_ytd,0.35,0.28,0.48,True,,8,3031.548593003521,0.0,,1.0,378.94357412544014,False
m0.35_L0.28_S0.53_rm0,y2022,0.35,0.28,0.53,False,,32,-1462.0121836817125,1621.419638423824,0.6616706559722351,0.40625,-45.687880740053515,True
m0.35_L0.28_S0.53_rm0,y2023,0.35,0.28,0.53,False,,51,77.87001723491473,1602.5385057946332,1.0181037754542426,0.49019607843137253,1.5268630830375436,True
m0.35_L0.28_S0.53_rm0,y2024,0.35,0.28,0.53,False,,162,445.8355393071939,1587.8473897182994,1.0362060566629803,0.4691358024691358,2.7520712302913206,True
m0.35_L0.28_S0.53_rm0,y2025_ytd,0.35,0.28,0.53,False,,48,3385.328192434721,832.5653580130966,1.8162777359567754,0.5208333333333334,70.52767067572336,True
m0.35_L0.28_S0.53_rm1,y2022,0.35,0.28,0.53,True,,14,3151.523919432818,0.0,,1.0,225.1088513880584,True
m0.35_L0.28_S0.53_rm1,y2023,0.35,0.28,0.53,True,,17,3127.4593579487996,0.0,,1.0,183.9681975264,True
m0.35_L0.28_S0.53_rm1,y2024,0.35,0.28,0.53,True,,24,3017.148114980585,163.00337235367624,8.42344584355776,0.875,125.7145047908577,True
m0.35_L0.28_S0.53_rm1,y2025_ytd,0.35,0.28,0.53,True,,8,3031.548593003521,0.0,,1.0,378.94357412544014,False
m0.35_L0.28_S0.58_rm0,y2022,0.35,0.28,0.58,False,,29,-1472.9750870248158,1586.365392875232,0.628467068479845,0.3793103448275862,-50.79224438016606,True
m0.35_L0.28_S0.58_rm0,y2023,0.35,0.28,0.58,False,,147,3023.237235573042,1375.013826266375,1.248362589592224,0.564625850340136,20.566239697775796,True
m0.35_L0.28_S0.58_rm0,y2024,0.35,0.28,0.58,False,,155,-52.15178747609161,1633.6407902406572,0.995676163022069,0.45806451612903226,-0.33646314500704266,True
m0.35_L0.28_S0.58_rm0,y2025_ytd,0.35,0.28,0.58,False,,30,3030.1671956273867,532.4800000000032,2.2947309553122315,0.5666666666666667,101.00557318757956,True
m0.35_L0.28_S0.58_rm1,y2022,0.35,0.28,0.58,True,,12,3534.4620061203714,0.0,,1.0,294.53850051003093,True
m0.35_L0.28_S0.58_rm1,y2023,0.35,0.28,0.58,True,,17,3194.9593579487996,0.0,,1.0,187.9387857616941,True
m0.35_L0.28_S0.58_rm1,y2024,0.35,0.28,0.58,True,,26,3139.0670886697203,198.42028021292936,7.305914146950529,0.8461538461538461,120.73334956422,True
m0.35_L0.28_S0.58_rm1,y2025_ytd,0.35,0.28,0.58,True,,8,3031.548593003521,0.0,,1.0,378.94357412544014,False
m0.35_L0.28_S0.63_rm0,y2022,0.35,0.28,0.63,False,,28,-1291.3712854787589,1542.5666666729958,0.6489360801151673,0.39285714285714285,-46.12040305281282,True
m0.35_L0.28_S0.63_rm0,y2023,0.35,0.28,0.63,False,,104,-310.2843222097332,1581.697942815932,0.9673788885985617,0.5096153846153846,-2.9835030981705115,True
