day,pnl,mae
2022-12-19,-662.48,-885.0
2023-01-09,172.52,-93.0
2023-01-23,1088.52,-29.0
2023-01-30,-945.48,-980.0
2023-02-06,-314.48,-537.0
2023-02-13,944.52,-169.0
2023-02-27,260.52,-54.0
2023-03-06,122.52,-31.0
2023-03-20,10.52,-655.0
2023-03-27,-469.48,-601.0
2023-04-03,20.52,-433.0
2023-04-10,-59.480000000000004,-842.0
2023-04-17,-86.48,-532.0
2023-04-24,-51.480000000000004,-416.0
2023-05-01,-55.480000000000004,-230.0
2023-05-08,151.52,-244.0
2023-05-15,366.52,-117.0
2023-05-22,361.52,-78.0
2023-06-05,13.52,-280.0
2023-06-12,960.52,-31.0
2023-06-26,-805.48,-819.0
2023-07-10,-26.48,-529.0
2023-07-17,613.52,-117.0
2023-07-24,27.52,-285.0
2023-07-31,44.519999999999996,-233.0
2023-08-07,465.52,-141.0
2023-08-14,665.52,-340.0
2023-08-21,891.52,-171.0
2023-08-28,397.52,-74.0
2023-09-11,663.52,-41.0
2023-09-18,113.52,-213.0
2023-09-25,228.52,-386.0
2023-10-02,101.52,-550.0
2023-10-09,452.52,-507.0
2023-10-16,692.52,-147.0
2023-10-23,104.52,-658.0
2023-10-30,361.52,-107.0
2023-11-13,-55.480000000000004,-381.0
2023-11-20,894.52,-107.0
2023-11-27,75.52,-192.0
2023-12-04,-490.48,-1082.0
2023-12-11,516.52,-238.0
2023-12-18,452.52,-62.0
2024-01-08,1271.52,-416.0
2024-01-22,-100.48,-200.0
2024-01-29,905.52,-4.0
2024-02-05,-51.480000000000004,-617.0
2024-02-12,-289.48,-394.0
2024-02-26,-25.48,-242.0
2024-03-04,-347.48,-368.0
2024-03-18,616.52,-42.0
2024-03-25,-232.48,-607.0
2024-04-01,-30.48,-342.0
2024-04-08,-204.48,-435.0
2024-04-15,-1101.48,-1241.0
2024-04-22,487.52,-318.0
2024-04-29,158.52,-293.0
2024-05-06,599.52,-252.0
2024-05-13,226.52,-34.0
2024-05-20,524.52,-9.0
2024-06-03,250.52,-613.0
2024-06-10,352.52,-212.0
2024-06-17,920.52,-223.0
2024-06-24,-1067.48,-1095.0
2024-07-01,310.52,-639.0
2024-07-08,293.52,-47.0
2024-07-15,60.519999999999996,-290.0
2024-07-22,986.52,-116.0
2024-07-29,147.52,-239.0
2024-08-05,-1443.48,-4183.0
2024-08-12,208.52,-309.0
2024-08-19,917.52,-413.0
2024-08-26,-773.48,-1126.0
2024-09-09,1159.52,-51.0
2024-09-16,-242.48,-797.0
2024-09-23,146.52,-336.0
2024-09-30,264.52,-563.0
2024-10-07,-885.48,-1084.0
2024-10-14,745.52,-205.0
2024-10-21,96.52,-613.0
2024-10-28,-101.48,-152.0
2024-11-11,-342.48,-823.0
2024-11-18,249.52,-343.0
2024-11-25,-238.48,-625.0
2024-12-02,1003.52,-102.0
2024-12-09,-686.48,-882.0
2024-12-16,1282.52,-26.0
2024-12-23,378.52,-724.0
2024-12-30,-1153.48,-1796.0
2025-01-06,893.52,-188.0
2025-01-13,-210.48,-1224.0
2025-01-27,-1630.48,-3608.0
2025-02-03,1160.52,-551.0
2025-02-10,787.52,-13.0
2025-02-24,-1346.48,-1398.0
2025-03-03,-1976.48,-2604.0
2025-03-17,636.52,-474.0
2025-03-24,1255.52,-17.0
2025-03-31,494.52,-1364.0
2025-04-07,1695.52,-2695.0
2025-04-14,-909.48,-1701.0
2025-04-21,-1550.48,-2430.0
2025-04-28,1.5199999999999996,-1067.0
2025-05-05,-469.48,-863.0
2025-05-12,2301.52,0.0
2025-05-19,827.52,-805.0
2025-06-02,912.52,-566.0
2025-06-09,72.52,-331.0
2025-06-16,1523.52,-246.0
2025-06-23,1694.52,-345.0
2025-06-30,541.52,-5.0
2025-07-07,-332.48,-753.0
2025-07-14,675.52,-249.0
2025-07-21,416.52,-142.0
2025-07-28,-103.48,-316.0
2025-08-04,1784.52,-114.0
2025-08-11,-519.48,-721.0
2025-08-18,1.5199999999999996,-305.0
2025-08-25,-433.48,-620.0
2025-09-08,495.52,-104.0
2025-09-15,788.52,-147.0
2025-09-22,582.52,-412.0
2025-09-29,440.52,-14.0
2025-10-06,753.52,0.0
2025-10-13,1750.52,0.0
2025-10-20,931.52,-444.0
2025-10-27,1045.52,0.0
2025-11-10,1507.52,-266.0
2025-11-17,-1135.48,-1750.0
2025-11-24,1854.52,-438.0
2025-12-01,-267.48,-1096.0
2025-12-08,-313.48,-728.0
2025-12-15,-430.48,-627.0
2025-12-22,73.52,-157.0
2025-12-29,-523.48,-893.0
2026-01-05,513.52,-89.0
2026-01-12,229.52,-1043.0
2026-01-26,1136.52,-64.0
2026-02-02,1289.52,-1410.0
2026-02-09,247.52,-1279.0
2026-02-23,-819.48,-1216.0
2026-03-02,1125.52,-1052.0
2026-03-16,1522.52,-71.0
2026-03-23,1934.52,-565.0
2026-03-30,-227.48,-669.0
2026-04-06,1076.52,-449.0
2026-04-13,2130.52,-359.0
2026-04-20,563.52,-274.0
2026-04-27,158.52,-424.0
2026-05-04,-437.48,-1095.0
2026-05-11,533.52,-289.0
2026-05-18,-147.48,-1284.0
2026-06-01,614.52,-502.0
2026-06-08,2431.52,-90.0
2026-06-15,2958.52,-5.0
2026-06-22,288.52,-976.0
2026-06-29,3058.52,-26.0
2026-07-06,42.519999999999996,-1014.0
