batch,exp_id,status,architecture,labeling_method,sample_weight,cv_method,calibration,feature_set,median_test_auc,median_train_auc,std_test_auc,median_pr_auc,median_brier,pct_signals_055,pct_signals_060,est_trades_per_day,train_test_gap,n_successful_folds,score
batch3,batch3_exp_00011,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5300315755796972,0.841469145001376,0.06412059883121063,0.5667687398699017,0.2502426943437163,0.08950452850293021,0.04208843899840171,0.9665587918015104,0.2958114377749033,9,0.3538207567489904
batch3,batch3_exp_00012,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5223551414367075,0.9049792525038438,0.07557200315685958,0.539957104403298,0.29417687279634014,0.20862239841427155,0.166005946481665,3.3133514986376023,0.35511448456484934,9,0.3968620442277331
batch3,batch3_exp_00013,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5183924750637172,0.9071807883022525,0.07447269014451155,0.5367018151898206,0.2956122190486006,0.19474727452923687,0.1605550049554014,3.1040871934604906,0.3565671976944673,9,0.3889343948499251
batch3,batch3_exp_00014,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5300315755796972,0.841469145001376,0.06412059883121063,0.5667687398699017,0.2502426943437163,0.08950452850293021,0.04208843899840171,0.9665587918015104,0.2958114377749033,9,0.3538207567489904
batch3,batch3_exp_00015,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5083924890598649,0.9214558413349548,0.05970757991704191,0.5753530844929,0.29966230058937865,0.2775533756491633,0.22735141373341028,3.410581547879318,0.38768851257776354,9,0.41605684369558427
batch3,batch3_exp_00016,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5071910031855911,0.921631302222303,0.059592277959444453,0.5717825826204626,0.2996849046250123,0.276399307559146,0.22908251586843623,3.5505028421512903,0.38794797368415,9,0.41487432493501303
batch3,batch3_exp_00017,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5247571490376134,0.9047725836972023,0.07442763220195293,0.5421918268076893,0.29295330338433717,0.21655104063429137,0.17542120911793854,3.653405994550409,0.3526281071372832,9,0.4014747056762846
batch3,batch3_exp_00018,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5214898445612159,0.896732345750036,0.07922622488836013,0.5381516900031889,0.25000367733138634,0.08870168483647176,0.022299306243805748,1.5607629427792917,0.32331341630823485,9,0.34837458067131827
batch3,batch3_exp_00019,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5082657267887258,0.9236962953551268,0.06062616300540497,0.5727985396638366,0.2996849046250123,0.276399307559146,0.22908251586843623,3.1219938784433756,0.3874725037935256,9,0.4155191590968939
batch3,batch3_exp_00020,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5300315755796972,0.841469145001376,0.06412059883121063,0.5667687398699017,0.2502426943437163,0.08950452850293021,0.04208843899840171,0.9665587918015104,0.2958114377749033,9,0.3538207567489904
batch3,batch3_exp_00021,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5125140651003591,0.925216754699629,0.061862115009259935,0.5712137888691148,0.29985035284507994,0.27466820542412,0.22619734564339297,2.780935723655444,0.3890400227121472,9,0.4173757212298635
batch3,batch3_exp_00022,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5068313841337728,0.92476660676795,0.06161329495301819,0.5707783567787869,0.30079290612945164,0.27466820542412,0.22619734564339297,2.8159160472234372,0.3894861642457816,9,0.41396611264991173
batch3,batch3_exp_00023,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5196000183477822,0.9043607851047808,0.05957158302411897,0.5573982582344075,0.2982499763949454,0.2974413646055437,0.255863539445629,3.5895485903634086,0.3718109163813767,9,0.43073655685088685
batch3,batch3_exp_00024,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.513489159070116,0.9217855867956606,0.05857569373898721,0.5717825826204626,0.2996849046250123,0.276399307559146,0.22908251586843623,3.515522518583297,0.38810159982843423,9,0.418653218465728
batch3,batch3_exp_00025,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5192605843768635,0.9054372001384212,0.05969888760686048,0.5557825137457714,0.2991451674521716,0.2953091684434968,0.2478678038379531,3.5010940919037203,0.3735142281884655,9,0.4296800180035168
batch3,batch3_exp_00026,SUCCESS,meta_labeling,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5181012338883537,0.904545114658199,0.05803931128716333,0.5569033224520494,0.297661076214209,0.31769722814498935,0.27611940298507465,3.6503883969797375,0.37113432389586637,9,0.4379396315910079
batch3,batch3_exp_00027,SUCCESS,single_model,trend_scanning,uniqueness_decay,cpcv,isotonic,unknown,0.5214898445612159,0.896732345750036,0.07922622488836013,0.5381516900031889,0.25000367733138634,0.08870168483647176,0.022299306243805748,1.5607629427792917,0.32331341630823485,9,0.34837458067131827
